initialSize:10000, elitism:45mutation:35
277,199.857,39-4-40-5-22-48-59-18-55-11-0-28-29-24-20-37-66-6-10-65-25-33-54-45-42-63-62-60-23-19-3-47-30-21-32-56-51-13-17-9-43-50-38-61-52-36-67-34-16-14-7-57-8-26-49-58-15-27-35-1-44-64-12-53-46-31-41-2-
277,173.153,20-23-60-0-53-46-12-19-3-47-1-62-58-49-27-15-64-44-16-26-8-14-57-35-7-67-34-61-38-50-52-36-43-30-51-13-9-17-56-32-21-37-63-10-65-25-33-54-45-42-6-66-5-29-24-40-28-59-22-18-48-4-39-55-41-31-11-2-
277,179.201,64-46-53-12-60-23-41-55-0-20-2-28-11-31-4-39-59-48-18-22-24-5-63-65-10-33-54-25-45-42-6-66-37-40-29-30-21-32-51-13-56-17-9-43-36-52-67-34-50-61-38-49-27-35-14-8-57-16-44-26-7-58-15-62-47-1-19-3-
277,185.642,0-53-12-64-46-3-19-47-58-44-1-62-15-35-8-16-26-14-7-49-27-57-67-36-50-34-61-38-52-43-13-51-21-32-56-17-9-30-20-24-37-6-42-45-33-54-25-65-10-66-63-40-5-29-28-59-4-22-48-18-39-55-41-2-11-31-60-23-
277,201.127,53-0-55-4-28-39-11-41-31-60-23-2-40-5-29-22-18-48-24-37-6-42-33-45-54-25-65-10-66-63-59-20-1-27-43-9-17-13-56-32-21-51-30-52-34-36-38-61-50-67-35-14-16-7-57-26-8-49-62-58-15-64-44-47-19-3-46-12-
277,188.435,1-62-64-44-46-0-23-60-11-4-22-31-39-2-55-41-18-48-59-28-40-37-66-10-65-25-45-54-33-42-6-63-5-24-29-20-30-21-32-51-56-9-17-13-43-38-61-50-34-36-67-52-14-49-27-26-8-57-16-7-35-58-15-47-3-12-53-19-
276,187.285,46-53-0-23-2-20-55-41-18-59-39-31-11-4-28-48-22-5-24-63-65-10-25-54-45-33-6-42-37-66-40-29-60-62-27-49-30-13-51-21-32-56-17-9-43-36-34-50-61-38-52-67-8-58-15-35-7-14-26-1-57-16-44-47-64-19-3-12-
277,217.872,23-2-31-0-3-19-1-55-28-39-48-22-10-63-37-42-54-33-45-25-65-6-66-29-40-24-5-59-11-60-62-15-30-51-21-13-32-56-17-9-43-8-7-52-36-50-61-38-34-67-44-26-16-35-49-14-57-64-47-27-58-20-41-4-18-46-12-53-
277,174.686,2-20-62-15-3-47-12-46-53-19-64-1-58-14-8-44-26-57-16-52-36-50-34-38-61-67-7-35-27-49-43-9-17-56-32-13-51-30-21-42-45-54-33-25-65-10-6-37-66-63-40-29-24-5-59-22-48-18-4-39-28-11-0-31-41-55-60-23-
initialSize:25000, elitism:45mutation:40
281,203.237,3-23-18-48-22-59-28-5-4-31-0-53-64-26-1-44-57-7-8-14-16-67-34-50-38-61-36-52-27-40-66-6-42-33-54-45-25-65-10-63-37-29-24-20-30-21-13-9-51-32-56-17-43-49-35-58-15-47-62-46-39-41-11-55-2-60-12-19-
281,183.944,39-2-55-18-4-59-48-22-24-29-40-63-66-37-6-42-33-25-45-54-10-65-5-28-20-11-60-1-15-62-30-21-32-51-13-56-17-9-43-34-61-38-50-36-52-67-7-57-14-35-27-49-58-8-16-26-44-64-19-53-12-47-3-46-0-41-23-31-
281,194.19,31-11-20-2-60-41-55-39-48-22-59-28-24-37-63-29-40-25-33-54-45-42-6-66-65-10-5-23-15-49-43-9-17-13-56-32-51-21-30-27-35-67-50-38-61-34-52-36-7-57-58-26-44-16-8-14-1-47-3-19-64-53-12-62-46-0-18-4-
281,199.575,2-39-18-53-60-23-46-15-62-8-35-27-49-67-34-50-38-61-52-36-43-30-13-9-17-56-32-51-21-37-33-63-66-6-42-45-54-25-65-10-40-24-0-12-64-26-58-1-14-7-57-16-44-19-3-47-11-31-41-55-28-48-4-22-59-5-29-20-
281,177.39,20-62-47-1-64-12-3-19-15-58-27-35-49-7-26-44-16-57-8-14-67-34-61-50-38-36-52-43-9-17-56-13-32-51-21-30-37-66-63-10-65-25-54-45-33-42-6-40-5-29-22-28-24-4-48-18-41-11-0-60-23-46-53-59-31-55-39-2-
281,160.131,47-3-19-12-53-46-62-23-60-0-11-41-31-55-39-4-18-48-22-28-59-24-29-37-6-42-45-54-33-25-65-10-66-63-5-40-2-20-30-21-51-32-56-13-17-9-43-52-36-34-50-61-38-67-49-27-15-58-35-7-14-57-8-16-26-44-64-1-
281,196.231,53-12-46-23-0-3-19-47-15-62-44-64-1-35-14-26-57-8-16-34-36-52-38-61-50-67-7-58-27-49-43-9-32-56-17-13-51-21-30-65-10-42-45-25-54-33-6-66-37-63-29-40-24-5-59-31-60-20-2-55-39-18-48-28-4-41-11-22-
281,170.112,46-60-23-30-20-2-18-0-11-41-31-39-55-4-28-59-22-48-24-29-5-40-63-37-66-6-10-65-25-33-54-45-42-21-51-32-56-13-17-9-43-52-36-38-61-50-34-67-49-27-35-7-57-44-26-16-8-14-58-15-62-47-1-64-19-3-12-53-
281,213.437,2-46-62-53-0-11-60-23-12-41-59-48-22-18-5-20-30-43-9-17-13-56-32-51-21-24-40-63-37-6-10-65-25-54-33-45-42-66-1-26-34-38-61-50-52-36-67-7-16-57-8-58-49-27-35-14-15-3-19-64-44-47-28-29-39-4-55-31-
281,208.407,47-19-1-44-64-53-12-60-11-2-20-40-24-28-18-10-63-66-6-33-42-45-54-25-65-37-59-22-48-5-29-30-21-51-13-32-56-9-17-43-38-61-50-52-36-67-34-49-58-26-16-57-8-14-35-7-15-27-62-31-55-41-23-46-39-4-0-3-
